Nstations,ETime,sdTime,lbTime,ubTime,ETimeM4,ETimeM12,ETimeM36
78,64.49330369,33.98569022,24.0113447,113.8869664,49.88133936,42.36748424,51.32879796
79,64.71016787,34.26620563,24.06427584,114.8979962,49.90144423,42.25090712,51.13426704
80,63.8855996,34.18123886,23.66696804,114.2068533,49.28390087,41.62969587,50.47727585
81,64.63960859,34.66076123,23.61798362,115.9905432,49.50236636,41.82331782,50.62508616
82,64.73973022,34.68156429,23.56883725,115.8033945,49.46628474,41.60257569,50.50266335
83,65.09514078,35.22016813,23.14485443,116.8912379,49.5119877,41.48353859,50.27110209
84,64.5641916,35.02489025,22.99477704,115.8785304,49.3662235,41.4215772,49.79962166
85,65.25004953,35.41982171,23.29357537,117.6132216,49.49342539,41.38886898,49.9885058
86,65.03285305,35.63031447,23.15850925,117.3216307,49.11912503,41.06441474,49.49989529
87,65.6254679,35.99651532,22.89185353,118.9248595,49.42483108,41.24415425,49.56399789
88,65.39345169,35.70029278,23.1867065,118.1919704,49.14593565,40.80279149,49.14609509
89,65.89092187,36.18812092,23.12615757,119.2125982,49.3643233,40.77692053,49.38803526
90,66.05147428,36.43783624,22.69929782,120.1584981,49.54777287,40.69586561,49.24676197
91,66.21402677,36.48588655,23.23983764,119.8355968,49.32083898,40.73309604,49.0053567
92,65.70228056,36.52562083,22.73217575,119.7363869,49.12922615,40.26093428,48.55229136
93,66.53411098,37.32979878,22.43265094,121.7283687,49.24479171,40.3397313,48.64479887
94,66.47185732,37.0941784,22.72054847,121.6205788,49.10351514,40.14270554,48.50945644
95,66.90725893,37.77658434,22.36677848,122.4788124,49.24794038,40.22425641,48.42078681
96,66.88684497,37.59328523,22.3718241,122.0726738,49.21559888,40.02427255,48.17282501
97,66.91256699,38.00146368,22.28003982,123.2304555,49.03863996,39.77188367,47.89780022
98,67.54476425,38.23066332,22.20711117,124.3633911,49.33412051,39.92048768,48.12703777
99,67.41994342,38.57242797,21.99104248,124.7212019,49.15992836,39.79992601,47.79800307
100,67.63985071,38.44652201,21.95147127,124.2409954,49.11650613,39.47524626,47.59790742
101,67.65452188,38.52597244,21.74053191,124.4380372,49.17047007,39.41933047,47.45849314
102,68.07415001,39.24228177,21.71862919,126.2581678,49.16834323,39.45396083,47.48951879
